%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1455190287669283231,777859,1455190287669283231,world,0.05780191347,1.18163132668,1.01719820499,-0.170840680599,-0.00570221757516,-0.00663401838392,0.985259830952
1455190287677713953,777860,1455190287677713953,world,0.0579262897372,1.18105721474,1.01734566689,-0.165177702904,-0.00591296097264,-0.0050610457547,0.986233115196
1455190287685875710,777861,1455190287685875710,world,0.0579106658697,1.1802970171,1.01736462116,-0.162556305528,-0.0059970440343,-0.00567442225292,0.986664772034
1455190287694234431,777862,1455190287694234431,world,0.0577786564827,1.17951858044,1.01740968227,-0.157276466489,-0.00554359098896,-0.00444867508486,0.987529039383
1455190287702682451,777863,1455190287702682451,world,0.0578211396933,1.17887294292,1.01750552654,-0.152884915471,-0.00430456921458,-0.00423124898225,0.988225638866
1455190287711027890,777864,1455190287711027890,world,0.0579016841948,1.17813527584,1.01745092869,-0.145316168666,-0.00353607581928,-0.00303617492318,0.989374399185
1455190287719178405,777865,1455190287719178405,world,0.0579091086984,1.17738032341,1.0176128149,-0.140732243657,-0.00360644981265,-0.00317309889942,0.990036129951
1455190287727573843,777866,1455190287727573843,world,0.0579231120646,1.17666983604,1.01775372028,-0.133458599448,-0.00410147709772,-0.00316430465318,0.991040885448
1455190287735845168,777867,1455190287735845168,world,0.0579567737877,1.17619371414,1.01770353317,-0.128463640809,-0.00422929413617,-0.00423274748027,0.991696178913
1455190287744371351,777868,1455190287744371351,world,0.0577020123601,1.17556965351,1.0178873539,-0.122979596257,-0.00417274376377,-0.00381004856899,0.992393195629
1455190287752633764,777869,1455190287752633764,world,0.0580026134849,1.17516088486,1.01773047447,-0.116642527282,-0.00459806807339,-0.00468117883429,0.993152320385
1455190287760839435,777870,1455190287760839435,world,0.0580619126558,1.17452895641,1.01804077625,-0.118189886212,-0.0010535849724,-0.00244262069464,0.992987513542
1455190287769317187,777871,1455190287769317187,world,0.0580187700689,1.17416846752,1.01790452003,-0.10858849436,-0.00616621552035,-0.00464937509969,0.994056820869
1455190287777726629,777872,1455190287777726629,world,0.0580857284367,1.17379307747,1.01802313328,-0.10908331722,-0.00417648302391,-0.00445765163749,0.994013905525
1455190287785907823,777873,1455190287785907823,world,0.0580621249974,1.17342603207,1.0180991888,-0.105281457305,-0.00508343195543,-0.0048975716345,0.99441742897
1455190287794242150,777874,1455190287794242150,world,0.057991810143,1.17308115959,1.01801633835,-0.0988423451781,-0.00532085215673,-0.00547045096755,0.995073914528
1455190287802680498,777875,1455190287802680498,world,0.0580601543188,1.17272186279,1.01814389229,-0.0991073995829,-0.00509869121015,-0.00494209816679,0.995051443577
1455190287811046711,777876,1455190287811046711,world,0.0580246597528,1.17238855362,1.01815891266,-0.0963800251484,-0.00470831943676,-0.0049329707399,0.995321273804
1455190287819270919,777877,1455190287819270919,world,0.0579760558903,1.17207765579,1.01813113689,-0.0949678421021,-0.00504970503971,-0.00508413510397,0.995454609394
1455190287827506019,777878,1455190287827506019,world,0.0579972676933,1.17190933228,1.01821351051,-0.0934501066804,-0.00452244421467,-0.00511585595086,0.995600640774
1455190287836070642,777879,1455190287836070642,world,0.0579570755363,1.17159187794,1.01813113689,-0.0913394540548,-0.0043251235038,-0.00499553838745,0.995797991753
1455190287844335767,777880,1455190287844335767,world,0.0579527653754,1.17142534256,1.01816892624,-0.0913360640407,-0.00387573707849,-0.00454917363822,0.995802283287
1455190287852490715,777881,1455190287852490715,world,0.0579403974116,1.17125856876,1.01820456982,-0.0891790837049,-0.00405002012849,-0.00422233110294,0.995998442173
1455190287860782157,777882,1455190287860782157,world,0.0580008104444,1.17107868195,1.01823949814,-0.0897240936756,-0.003218783997,-0.00405776780099,0.995953261852
1455190287869353554,777883,1455190287869353554,world,0.0579743981361,1.1709356308,1.01824104786,-0.0890265479684,-0.00237149861641,-0.0033905680757,0.996020674706
